index,binary_val
0,00000000000000000000100100111010
1,00000000000000000000100101000001
2,00000000000000000000100101000111
3,00000000000000000000100101001101
4,00000000000000000000100101001101
5,00000000000000000000100101010011
6,00000000000000000000100101010011
7,00000000000000000000100101010011
8,00000000000000000000100101011010
9,00000000000000000000100101011010
10,00000000000000000000100101100000
11,00000000000000000000100101100110
12,00000000000000000000100101100110
13,00000000000000000000100101100110
14,00000000000000000000100101101100
15,00000000000000000000100101101100
16,00000000000000000000100101101100
17,00000000000000000000100101110011
18,00000000000000000000100101101100
19,00000000000000000000100101101100
20,00000000000000000000100101110011
21,00000000000000000000100101111001
22,00000000000000000000100101111001
23,00000000000000000000100101111001
24,00000000000000000000100101111001
25,00000000000000000000100101111111
26,00000000000000000000100101111001
27,00000000000000000000100101111001
28,00000000000000000000100101111111
29,00000000000000000000100101111111
30,00000000000000000000100110000101
31,00000000000000000000100110000101
32,00000000000000000000100110000101
33,00000000000000000000100110001100
34,00000000000000000000100110001100
35,00000000000000000000100110010010
36,00000000000000000000100110001100
37,00000000000000000000100110001100
38,00000000000000000000100110001100
39,00000000000000000000100110010010
40,00000000000000000000100110010010
41,00000000000000000000100110010010
42,00000000000000000000100110010010
43,00000000000000000000100110001100
44,00000000000000000000100110010010
45,00000000000000000000100110010010
46,00000000000000000000100110010010
47,00000000000000000000100110011000
48,00000000000000000000100110011000
49,00000000000000000000100110011000
50,00000000000000000000100110011000
51,00000000000000000000100110011000
52,00000000000000000000100110011000
53,00000000000000000000100110011000
54,00000000000000000000100110011110
55,00000000000000000000100110011000
56,00000000000000000000100110011110
57,00000000000000000000100110011110
58,00000000000000000000100110011110
59,00000000000000000000100110011110
60,00000000000000000000100110011000
61,00000000000000000000100110011000
62,00000000000000000000100110011110
63,00000000000000000000100110011110
64,00000000000000000000100110011110
65,00000000000000000000100110011110
66,00000000000000000000100110100101
67,00000000000000000000100110011110
68,00000000000000000000100110011110
69,00000000000000000000100110100101
70,00000000000000000000100110011110
71,00000000000000000000100110011110
72,00000000000000000000100110100101
73,00000000000000000000100110100101
74,00000000000000000000100110100101
75,00000000000000000000100110100101
76,00000000000000000000100110100101
77,00000000000000000000100110011110
78,00000000000000000000100110100101
79,00000000000000000000100110100101
80,00000000000000000000100110100101
81,00000000000000000000100110100101
82,00000000000000000000100110011110
83,00000000000000000000100110100101
84,00000000000000000000100110011110
85,00000000000000000000100110011110
86,00000000000000000000100110100101
87,00000000000000000000100110011110
88,00000000000000000000100110100101
89,00000000000000000000100110100101
90,00000000000000000000100110100101
91,00000000000000000000100110100101
