index,binary_val
0,00000000000000000000101010101110
1,00000000000000000000100000110100
2,00000000000000000001001001010000
3,00000000000000000000100100101000
4,00000000000000000000101111010011
5,00000000000000000000111101000010
6,00000000000000000000100001100100
7,00000000000000000000100101011001
8,00000000000000000001000011111010
9,00000000000000000000100000110100
10,00000000000000000000100011110111
11,00000000000000000000101001111110
12,00000000000000000001000110111101
13,00000000000000000000100011110111
14,00000000000000000000100101011001
15,00000000000000000001000000110110
16,00000000000000000000100100101000
17,00000000000000000000100000110100
18,00000000000000000000100000000011
19,00000000000000000000100000000011
20,00000000000000000000111100010001
21,00000000000000000000100011110111
22,00000000000000000000100011000110
23,00000000000000000000100001100100
24,00000000000000000001000100101011
25,00000000000000000000100100101000
26,00000000000000000001000110111101
27,00000000000000000000110111101100
28,00000000000000000000100000000011
29,00000000000000000001001000011111
30,00000000000000000000111010110000
31,00000000000000000001001001010000
32,00000000000000000000100010010101
33,00000000000000000000100001100100
34,00000000000000000000100011110111
35,00000000000000000001000100101011
36,00000000000000000000100010010101
37,00000000000000000000100010010101
38,00000000000000000000100011110111
39,00000000000000000001000101011011
40,00000000000000000000100001100100
41,00000000000000000000011111010010
42,00000000000000000000111000011101
43,00000000000000000000100001100100
44,00000000000000000000100000110100
45,00000000000000000000011111010010
46,00000000000000000000100000110100
47,00000000000000000000100110001001
48,00000000000000000000100011000110
49,00000000000000000000100000000011
50,00000000000000000000110011000111
51,00000000000000000000101001001101
52,00000000000000000000100001100100
53,00000000000000000000111001001110
54,00000000000000000000101001001101
55,00000000000000000000100000110100
56,00000000000000000000100001100100
57,00000000000000000001000111101110
58,00000000000000000001000001100111
59,00000000000000000000110110111100
60,00000000000000000000100001100100
61,00000000000000000000110000110101
62,00000000000000000000100000000011
63,00000000000000000000101001001101
64,00000000000000000001001010110001
65,00000000000000000000100000000011
66,00000000000000000000110011000111
67,00000000000000000001000110001100
68,00000000000000000000100000000011
69,00000000000000000000110001100110
70,00000000000000000000100110111010
71,00000000000000000000110000000100
72,00000000000000000000110000000100
73,00000000000000000000111010110000
74,00000000000000000000110000000100
75,00000000000000000000110110111100
76,00000000000000000000100000000011
77,00000000000000000000100001100100
78,00000000000000000000100110001001
79,00000000000000000001000010011000
80,00000000000000000000111011100001
81,00000000000000000000100111101011
82,00000000000000000000100011000110
83,00000000000000000000011111010010
84,00000000000000000000111001001110
85,00000000000000000001000011111010
86,00000000000000000000110011000111
87,00000000000000000000011111010010
88,00000000000000000000011111010010
89,00000000000000000000111001001110
90,00000000000000000000101101110010
91,00000000000000000000011111010010
92,00000000000000000000100011000110
93,00000000000000000000100011000110
94,00000000000000000000011111010010
95,00000000000000000000100010010101
96,00000000000000000000100001100100
97,00000000000000000000100000000011
98,00000000000000000000111101110011
99,00000000000000000000100000110100
100,00000000000000000000100100101000
101,00000000000000000000111001001110
102,00000000000000000001000011111010
103,00000000000000000000100110001001
104,00000000000000000000100010010101
105,00000000000000000000111001111111
106,00000000000000000001001000011111
107,00000000000000000000100000000011
108,00000000000000000000011110100001
109,00000000000000000000100000110100
110,00000000000000000000100000110100
111,00000000000000000000011111010010
112,00000000000000000000101001001101
113,00000000000000000000110111101100
114,00000000000000000000110011111000
115,00000000000000000000111001001110
116,00000000000000000000100001100100
117,00000000000000000000100000000011
118,00000000000000000000101011011111
119,00000000000000000000011111010010
120,00000000000000000001000111101110
121,00000000000000000000100001100100
122,00000000000000000001000000110110
123,00000000000000000000111110100100
124,00000000000000000000100001100100
125,00000000000000000000011111010010
126,00000000000000000000111101000010
127,00000000000000000000100000000011
